Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.16430,  0.44481,  0.13299,  0.00000
2,  0.00000,  0.19241,  0.48549,  0.14901,  0.00000
3,  0.00000,  0.20051,  0.50278,  0.17432,  0.00000
4,  0.00000,  0.21367,  0.52532,  0.19017,  0.00000
5,  0.00000,  0.22405,  0.55401,  0.20988,  0.00000
6,  0.00000,  0.24253,  0.57789,  0.23385,  0.00000
7,  0.00000,  0.25823,  0.60270,  0.25303,  0.00000
8,  0.00000,  0.27181,  0.62346,  0.26776,  0.00000
9,  0.00000,  0.28025,  0.64135,  0.27741,  0.00000
10,  0.00000,  0.30709,  0.66025,  0.30463,  0.00000
11,  0.00000,  0.31823,  0.67426,  0.31442,  0.00000
12,  0.00000,  0.34414,  0.69173,  0.34310,  0.00000
13,  0.00000,  0.35890,  0.70582,  0.35901,  0.00000
14,  0.00000,  0.36717,  0.70928,  0.36656,  0.00000
15,  0.00000,  0.38143,  0.71983,  0.38086,  0.00000
16,  0.00000,  0.40540,  0.72726,  0.40520,  0.00000
17,  0.00000,  0.40616,  0.72793,  0.40597,  0.00000
18,  0.00000,  0.41671,  0.73283,  0.41637,  0.00000
19,  0.00000,  0.41941,  0.73308,  0.41962,  0.00000
20,  0.00000,  0.42498,  0.73755,  0.42475,  0.00000
21,  0.00000,  0.42253,  0.73173,  0.42278,  0.00000
22,  0.00000,  0.42456,  0.73350,  0.42449,  0.00000
23,  0.00000,  0.42506,  0.73789,  0.42506,  0.00000
24,  0.00000,  0.42928,  0.73781,  0.42896,  0.00000
25,  0.00000,  0.42684,  0.73722,  0.42663,  0.00000
26,  0.00000,  0.41899,  0.73089,  0.41894,  0.00000
27,  0.00000,  0.43198,  0.73646,  0.43200,  0.00000
28,  0.00000,  0.42506,  0.73519,  0.42493,  0.00000
29,  0.00000,  0.42810,  0.73764,  0.42802,  0.00000
30,  0.00000,  0.43089,  0.73561,  0.43072,  0.00000
31,  0.00000,  0.42675,  0.73426,  0.42673,  0.00000
32,  0.00000,  0.43443,  0.73316,  0.43443,  0.00000
33,  0.00000,  0.42565,  0.73165,  0.42570,  0.00000
34,  0.00000,  0.42684,  0.73148,  0.42687,  0.00000
35,  0.00000,  0.42084,  0.73215,  0.42076,  0.00000
36,  0.00000,  0.42599,  0.73198,  0.42613,  0.00000
37,  0.00000,  0.42861,  0.72945,  0.42869,  0.00000
38,  0.00000,  0.42439,  0.72557,  0.42457,  0.00000
39,  0.00000,  0.42574,  0.72684,  0.42595,  0.00000
40,  0.00000,  0.42228,  0.72692,  0.42248,  0.00000
41,  0.00000,  0.42059,  0.72304,  0.42082,  0.00000
42,  0.00000,  0.41941,  0.72135,  0.41950,  0.00000
43,  0.00000,  0.42203,  0.72312,  0.42232,  0.00000
44,  0.00000,  0.42051,  0.72439,  0.42062,  0.00000
