Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.14066,  0.40981,  0.10101,  0.00000
2,  0.00000,  0.16677,  0.47674,  0.13406,  0.00000
3,  0.00000,  0.20522,  0.52943,  0.18174,  0.00000
4,  0.00000,  0.20665,  0.53734,  0.18697,  0.00000
5,  0.00000,  0.21756,  0.55712,  0.20376,  0.00000
6,  0.00000,  0.23038,  0.57706,  0.22196,  0.00000
7,  0.00000,  0.24335,  0.59810,  0.23473,  0.00000
8,  0.00000,  0.25111,  0.61076,  0.24316,  0.00000
9,  0.00000,  0.24921,  0.62579,  0.24399,  0.00000
10,  0.00000,  0.27484,  0.64304,  0.27104,  0.00000
11,  0.00000,  0.28386,  0.66187,  0.27951,  0.00000
12,  0.00000,  0.30411,  0.68101,  0.30300,  0.00000
13,  0.00000,  0.31250,  0.68655,  0.30866,  0.00000
14,  0.00000,  0.32801,  0.70174,  0.32506,  0.00000
15,  0.00000,  0.33734,  0.70807,  0.33463,  0.00000
16,  0.00000,  0.34557,  0.71155,  0.34390,  0.00000
17,  0.00000,  0.37785,  0.72658,  0.37620,  0.00000
18,  0.00000,  0.38513,  0.72848,  0.38347,  0.00000
19,  0.00000,  0.39953,  0.74051,  0.39810,  0.00000
20,  0.00000,  0.41551,  0.74889,  0.41440,  0.00000
21,  0.00000,  0.41266,  0.74731,  0.41173,  0.00000
22,  0.00000,  0.43180,  0.75348,  0.43132,  0.00000
23,  0.00000,  0.43560,  0.75696,  0.43513,  0.00000
24,  0.00000,  0.43766,  0.76044,  0.43690,  0.00000
25,  0.00000,  0.44763,  0.76218,  0.44694,  0.00000
26,  0.00000,  0.44256,  0.76060,  0.44208,  0.00000
27,  0.00000,  0.44684,  0.76297,  0.44631,  0.00000
28,  0.00000,  0.44383,  0.76013,  0.44338,  0.00000
29,  0.00000,  0.44778,  0.76487,  0.44697,  0.00000
30,  0.00000,  0.44921,  0.75965,  0.44816,  0.00000
31,  0.00000,  0.44620,  0.76250,  0.44517,  0.00000
32,  0.00000,  0.44114,  0.75601,  0.44012,  0.00000
33,  0.00000,  0.45000,  0.75839,  0.44848,  0.00000
34,  0.00000,  0.45063,  0.76076,  0.44991,  0.00000
35,  0.00000,  0.45000,  0.76060,  0.44906,  0.00000
36,  0.00000,  0.45111,  0.76060,  0.45013,  0.00000
37,  0.00000,  0.44668,  0.76171,  0.44506,  0.00000
38,  0.00000,  0.44225,  0.75934,  0.44200,  0.00000
39,  0.00000,  0.44351,  0.75854,  0.44306,  0.00000
40,  0.00000,  0.44541,  0.75142,  0.44468,  0.00000
41,  0.00000,  0.43940,  0.75380,  0.43850,  0.00000
42,  0.00000,  0.43877,  0.75253,  0.43841,  0.00000
43,  0.00000,  0.43956,  0.75032,  0.43859,  0.00000
44,  0.00000,  0.43576,  0.75301,  0.43544,  0.00000
45,  0.00000,  0.43038,  0.75190,  0.42986,  0.00000
46,  0.00000,  0.43465,  0.75142,  0.43397,  0.00000
47,  0.00000,  0.42991,  0.74715,  0.42968,  0.00000
48,  0.00000,  0.42690,  0.74778,  0.42650,  0.00000
