controller_utility_stage_enabled,cuda_peak_memory_mb,epoch,events,full_objective,leaf_prune_enabled,max_leaf_mass,max_sequence_route_std,max_wake_gradient_norm,mean_expansion_utility,mean_frontier_branches,mean_frontier_size,mean_frontier_visited_nodes,mean_max_similarity,mean_novelty,mean_sequence_route_std,mean_similarity_count,mean_soft_count,mean_weighted_similarity,memorizes,memory_owner_depth_mean,owner_lca_rate,posterior_entropy,prior_posterior_kl,queue_splits,resident_cache_hits,resident_cache_misses,route_conditional_entropy,route_entropy,route_marginal_entropy,route_mutual_information,utility_evaluated,wake_loss_per_event,wake_prediction_nll_per_event,write_candidates,write_decisions,writes
True,10495.45361328125,1,72800,6.410404957728943,False,0.08549676090478897,0.0,4.5812153816223145,0.4486175363311698,5.248392857142857,6.248392857142857,11.496785714285714,0.8441968810951317,0.07790155780266274,0.0,0.925538124356951,0.925538124356951,0.8441968810951317,2093,4.6349862637362635,0.1301510989010989,0.6265601293857281,0.0002974059653742198,0,0,910,0.6265601293857281,2.4849541187286377,2.4849541187286377,1.8583939893429096,0,2.9794959954004026,2.9794031739496925,11289,6755,6755
True,10512.51416015625,2,72800,8.552648051431547,False,0.11153743416070938,0.0,3.168431282043457,0.09895302331321991,4.591717032967033,5.591717032967033,10.183434065934065,0.9337323142146016,0.03313384428538464,0.0,0.9531695573932522,0.9531695573932522,0.9337323142146016,0,2.17478021978022,0.7472664835164835,1.4200974192986122,0.19595544568784945,1043,0,910,1.4200974192986122,1.3547910451889038,1.3547910451889038,0.0,4096,2.8241235408512453,2.8240292205915347,10199,6863,6863
True,8060.365234375,3,72800,8.435529332503325,False,0.22180938720703125,0.0,3.374356269836426,0.16144765820043094,3.0000274725274725,4.0000274725274725,7.000054945054945,0.9609154821752192,0.01954226132768851,0.0,0.9767241285135457,0.9767241285135457,0.9609154821752192,0,2.799752747252747,0.15997252747252746,0.9766814902588561,0.0624423752446751,1508,0,910,0.9766814902588561,3.868342868251773e-10,3.868342868251773e-10,0.0,4096,2.8245473843035,2.8244498291120426,11671,7099,7099
True,8460.0810546875,4,72800,8.414898748360018,False,0.26739275455474854,0.0,3.7282140254974365,0.14254809683591718,3.32614010989011,4.32614010989011,7.65228021978022,0.9830609299062373,0.008469537254218217,0.0,0.9920088121393225,0.9920088121393225,0.9830609299062373,0,2.695796703296703,0.295728021978022,1.0434424701103797,0.09553413341333578,187,0,910,1.0434424701103797,0.5010381937026978,0.5010381937026978,0.0,4096,2.813068942076707,2.8129710027149746,12728,7127,7127
True,8489.79443359375,5,72800,8.281811641201168,False,0.23714159429073334,0.0,4.388616561889648,0.1380887703235375,3.2638598901098903,4.26385989010989,7.527719780219781,0.9710789970775227,0.014460499965391315,0.0,0.9854509987673916,0.9854509987673916,0.9710789970775227,6,2.540934065934066,0.29596153846153844,1.0400587995759734,0.1556382936828739,2738,0,910,1.0400587995759734,0.8801119327545166,0.8801119327545166,0.0,4096,2.787474191414412,2.787375495355208,14583,7182,7182
True,8735.86376953125,6,72800,8.278653600277728,False,0.22387254238128662,0.0,4.810818672180176,0.16615106151463713,3.484478021978022,4.484478021978022,7.968956043956044,0.9883988340608366,0.005800585867120669,0.0,0.989138670701247,0.989138670701247,0.9883988340608366,0,2.692513736263736,0.19653846153846155,0.8423507246604333,0.3098169095699604,22630,0,910,0.8423507246604333,1.0278741121292114,1.0278741121292114,0.18552338746877817,4096,2.7533663330479294,2.753267098101941,16619,7221,7221
True,8794.84619140625,7,72800,8.202576757720387,False,0.33824825286865234,0.0,5.2338738441467285,0.16582945777504396,3.9880494505494504,4.98804945054945,8.9760989010989,0.9835212453905042,0.008239375547720836,0.0,0.985697899388743,0.985697899388743,0.9835212453905042,0,2.8916208791208793,0.3160576923076923,0.9505563018610189,0.38091112397529264,25447,0,910,0.9505563018610189,1.0863622426986694,1.0863622426986694,0.13580594083765052,4096,2.7356896123632,2.735590160757631,17807,7237,7237
True,8650.0703125,8,72800,8.232506924024317,False,0.2840878665447235,0.0,5.259762763977051,0.18469814698011475,3.9493406593406593,4.94934065934066,8.89868131868132,0.9803889783922133,0.009805511267303111,0.0,0.9844974677117316,0.9844974677117316,0.9803889783922133,0,2.8962774725274727,0.3500412087912088,0.9822349627987369,0.3573640858734047,25840,0,910,0.9822349627987369,1.0042691230773926,1.0042691230773926,0.02203416027865568,4096,2.756838388971567,2.756738921574184,18773,7238,7238
True,8982.7998046875,9,72800,8.12474902926082,False,0.1861453801393509,0.0,4.66442346572876,0.20960578628603374,3.8600686813186815,4.8600686813186815,8.720137362637363,0.9753809520176479,0.012309524782902592,0.0,0.9830174409426176,0.9830174409426176,0.9753809520176479,0,2.9851923076923077,0.3067857142857143,0.9018408256572682,0.3221536111307668,27040,0,910,0.9018408256572682,1.0889830589294434,1.0889830589294434,0.18714223327217516,4096,2.731807810524536,2.731708069057255,20237,7258,7258
True,9095.63232421875,10,72800,8.117729491735751,False,0.20011530816555023,0.0,3.8047616481781006,0.22455957606065718,4.267953296703297,5.267953296703297,9.535906593406594,0.9732609508849762,0.013369522954408939,0.0,0.9813550367460147,0.9813550367460147,0.9732609508849762,0,3.1621153846153844,0.3484065934065934,0.947646239563659,0.3849747642317971,31238,0,910,0.947646239563659,1.1564308404922485,1.1564308404922485,0.20878460092858953,4096,2.738883822439376,2.7387840561290364,20983,7260,7260
