Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.14713,  0.43330,  0.09770,  0.00000
2,  0.00000,  0.20263,  0.49747,  0.16823,  0.00000
3,  0.00000,  0.21782,  0.52249,  0.18672,  0.00000
4,  0.00000,  0.22074,  0.53953,  0.19652,  0.00000
5,  0.00000,  0.23155,  0.55404,  0.21008,  0.00000
6,  0.00000,  0.24060,  0.57868,  0.23251,  0.00000
7,  0.00000,  0.25278,  0.60175,  0.24120,  0.00000
8,  0.00000,  0.26602,  0.61373,  0.26072,  0.00000
9,  0.00000,  0.28325,  0.63710,  0.27980,  0.00000
10,  0.00000,  0.28783,  0.65141,  0.28425,  0.00000
11,  0.00000,  0.31256,  0.66056,  0.30633,  0.00000
12,  0.00000,  0.31616,  0.67157,  0.31352,  0.00000
13,  0.00000,  0.33944,  0.68763,  0.33488,  0.00000
14,  0.00000,  0.34917,  0.70292,  0.34528,  0.00000
15,  0.00000,  0.36543,  0.70954,  0.36287,  0.00000
16,  0.00000,  0.37098,  0.71480,  0.36953,  0.00000
17,  0.00000,  0.38559,  0.72132,  0.38432,  0.00000
18,  0.00000,  0.40058,  0.72541,  0.39840,  0.00000
19,  0.00000,  0.40204,  0.72687,  0.40060,  0.00000
20,  0.00000,  0.41198,  0.73301,  0.41119,  0.00000
21,  0.00000,  0.41392,  0.73106,  0.41206,  0.00000
22,  0.00000,  0.42648,  0.73593,  0.42570,  0.00000
23,  0.00000,  0.41977,  0.73651,  0.41886,  0.00000
24,  0.00000,  0.42337,  0.73350,  0.42253,  0.00000
25,  0.00000,  0.42580,  0.73535,  0.42501,  0.00000
26,  0.00000,  0.42502,  0.73807,  0.42424,  0.00000
27,  0.00000,  0.42795,  0.73788,  0.42651,  0.00000
28,  0.00000,  0.43038,  0.73389,  0.42970,  0.00000
29,  0.00000,  0.43028,  0.73350,  0.42940,  0.00000
30,  0.00000,  0.42639,  0.73661,  0.42590,  0.00000
31,  0.00000,  0.42999,  0.73622,  0.42947,  0.00000
32,  0.00000,  0.43106,  0.73544,  0.43025,  0.00000
33,  0.00000,  0.42892,  0.73622,  0.42811,  0.00000
34,  0.00000,  0.43009,  0.73496,  0.42920,  0.00000
35,  0.00000,  0.42619,  0.73019,  0.42590,  0.00000
36,  0.00000,  0.43330,  0.73447,  0.43261,  0.00000
37,  0.00000,  0.43252,  0.73204,  0.43198,  0.00000
38,  0.00000,  0.42804,  0.72960,  0.42735,  0.00000
39,  0.00000,  0.42648,  0.73038,  0.42604,  0.00000
40,  0.00000,  0.42833,  0.72824,  0.42799,  0.00000
41,  0.00000,  0.42580,  0.72687,  0.42521,  0.00000
42,  0.00000,  0.42707,  0.72892,  0.42684,  0.00000
43,  0.00000,  0.42678,  0.72648,  0.42643,  0.00000
44,  0.00000,  0.42561,  0.72853,  0.42511,  0.00000
45,  0.00000,  0.42551,  0.72522,  0.42506,  0.00000
46,  0.00000,  0.42074,  0.72181,  0.42036,  0.00000
47,  0.00000,  0.42259,  0.72035,  0.42192,  0.00000
48,  0.00000,  0.41831,  0.71947,  0.41800,  0.00000
